views,likes,comments,shares,author_verified,primary_hashtag,music_name,music_is_original,duration_sec,caption,upload_date,author_name,video_id
19100000,2600000,0,13700,False,mask,Overwhelmed remix by Itsluxcity Christian Gates,True,8,#mask #vindiesel #KFCMakeItLegendary #vibewithvin #funny,2020-12-16,im_vindiesel,6906814891034823938
246700,4673,12,82,False,not,original sound,True,8,#not #twisting #hand,2020-10-04,marijn.kuipers,6879756807481363714
49400,1472,39,114,False,hinkebeentje,original sound,True,10,Heujjj gelukt! #hinkebeentje #hatseflats #KerstInHuis #fyp #fy #vjp #vj #daarbenikweer #athome,2020-12-13,adkonings,6905705430886944002
99600,9247,60,27,False,fyp,original sound,True,21,CHEST DIP TIPS. Work that chest 💪🏻✨ #fyp #foru #fitnessgirls #HorrorTok #DoItBold #fitnesstips #chestdips #chestworkout,2020-10-18,sarah.annne,6884970166489271557
246400,8990,380,440,False,rijst,Mission Impossible Theme (Movie Trailer Mix),False,19,Wanneer kwam jij erachter? 🤷‍♂️ #rijst #lifehack #foodhack,2020-12-05,sterkindekeuken.nl,6902680579989359874
582400,70100,490,729,False,,original sound,True,15,Watch till the end 😨 @snappersociety @kaliturbo,2020-11-21,riovacci,6897704483288124673
55500,6130,111,31,False,рек,Fill in Billies voice,True,15,"Видимо опять придётся доказывать, что звук мой😂 #рек #рекомендации #хочуврек #recommendations #keşfet #billieeilish #lovely",2020-11-06,eskimonapalocke,6891973965238111489
171200,5898,31,689,False,fy,origineel geluid,True,17,Picobello bv #fy #fyp #voorjou #voorjouwpage #follow #viraal #gekkies #internetgekkies #picobello #hallo #lachen #nederlands,2020-10-08,danny07251,6881218787157216514
70100,24000,264,240,False,jungkook,original sound,True,59,Kookie cuz my movie doesn't have a name😜😂 #jungkook #bts #armybts #bts_official_bighit @bts_official_bighit,2020-12-15,kim.sahar,6906604842081357057
58500,7508,17,18,False,,original sound,True,37,රැවුල වැවෙන්න බෙහෙතක්😇😇😇😇,2020-11-17,dineshbandara08,6895890526185213186
103000,9099,124,38,True,colombian,#Slomo Trans,True,11,Our #Colombian ⭐️ is back! 🕺 #Sinisterra #Feyenoord #Soccer #Training #FY #Celebrate #Football #ForYouPage,2020-12-09,feyenoord,6904279792388984066
